,REGION_ADMINISTRATIVE,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
Université Bishop's,Estrie,,2016-2017,Fonds des leaders John-R.-Evans,Indépendant - chercheur établi,David WEBSTER,Cahiers numériques concernant les relations internationales,MES,13782.0,,,13782,34457,Arts et lettres,"Économie, gestion et gouvernance",Autre recherche,Histoire
Université McGill,Montréal,,2020-2021,Fonds d'innovation,,Thomas SZKOPEK,Ingénierie des matériaux fonctionnels à l'échelle atomique (IMFEA),MES,2767722.0,,,2767722,6926589,Sciences naturelles et génie,Nanosciences et nanotechnologies,Industries électroniques et connexes,Science et technologie des matériaux
Université de Montréal,Montréal,,2020-2021,Fonds des leaders John-R.-Evans,Partenariat avec un organisme fédéral,Marcello VITALI-ROSATI,Chaire de recherche du Canada sur les écritures numériques,MES,91251.0,,,91251,228129,Arts et lettres,"Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)",Culture,Sciences humaines et sociales (SHS)
Université du Québec à Montréal (UQAM),Montréal,,2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Steve BOURGAULT,SARS-CoV-2: stratégies d'immunisation et identification d'inhibiteurs d'entrée virale,MES,329790.0,,,329790,951190,Santé,Biopharmaceutique,"Recherches médicales, traitement hospitalier, chirurgie",Immunologie
Université Laval,Capitale-Nationale,,2020-2021,Fonds des leaders John-R.-Evans,Partenariat avec un organisme fédéral,Innocent Kamwa,Chaire de recherche du Canada sur les réseaux électriques décentralisés durables pour les communautés intelligentes,MES,211420.0,,,211420,620592,Sciences naturelles et génie,Développement durable et technologies vertes,"Production, distribution et utilisation rationelle de l'énergie",Génie électrique et électronique
Université Concordia,Montréal,,2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Hassan Rivaz,Développement de techniques d'apprentissage automatique et d'imagerie pour le diagnostic du COVID-19 par ultrasons,MES,150000.0,,,150000,439868,Santé,"Sciences de la vie (recherche clinique, santé humaine, services de santé)",Génie biomédical et pharmacologie,Génie biomédical
HEC Montréal,Montréal,,2020-2021,Fonds des leaders John-R.-Evans,Indépendant - chercheur établi,Pierre-Majorique LÉGER,Tech3Lab Centre-Ville,MES,400000.0,,,400000,1024748,Sciences naturelles et génie,"Économie, gestion et gouvernance",Gestion des entreprises et des administrations,Technologie de l'information: informatique
Institut national de la recherche scientifique (INRS),Capitale-Nationale,,2020-2021,Fonds des leaders John-R.-Evans,Indépendant - chercheur junior - recrutement,Kokou Adjalle,Infrastructure de recherche pour un laboratoire de biotechnologie environnementale et de chimie verte,MES,88671.0,,,88671,223713,Sciences naturelles et génie,Développement durable et technologies vertes,Ressources renouvelables: production et technologies,Biochimie
École Polytechnique de Montréal,Montréal,,2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Frédéric LEBLOND,Plateforme de caractérisation de biofluides utilisant la spectroscopie Raman pour le développement d'un test de salive rapide pour détecter la COVID-19,MES,201267.0,,,201267,503168,Sciences naturelles et génie,Optique-photonique,"Recherches médicales, traitement hospitalier, chirurgie",Génie biomédical
Université du Québec à Trois-Rivières (UQTR),Mauricie,,2018-2019,Fonds des leaders John-R.-Evans,Indépendant - chercheur établi,Adam Duong,Matériaux innovants pour la conversion et le stockage de l'énergie,MES,100000.0,,,100000,299841,Sciences naturelles et génie,Énergie,Sources d'énergie renouvelables,Chimie des polymères
